------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to bbr
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 34734 (icwnd/mss/irtt=14/1448/1713)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 41234 (icwnd/mss/irtt=14/1448/3260)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 35622 (icwnd/mss/irtt=14/1448/4561)
[ ID] Interval       Transfer     Bandwidth
[  2] 2.5000-2.6000 sec  0.552 GBytes  5.52 GBytes/sec
[  3] 2.5000-2.6000 sec  0.292 GBytes  2.92 GBytes/sec
[  1] 2.5000-2.6000 sec  0.316 GBytes  3.16 GBytes/sec
[  2] 2.6000-2.7000 sec  0.539 GBytes  5.39 GBytes/sec
[  3] 2.6000-2.7000 sec  0.345 GBytes  3.45 GBytes/sec
[  1] 2.6000-2.7000 sec  0.348 GBytes  3.48 GBytes/sec
[  1] 2.7000-2.8000 sec  0.354 GBytes  3.54 GBytes/sec
[  2] 2.7000-2.8000 sec  0.533 GBytes  5.33 GBytes/sec
[  3] 2.7000-2.8000 sec  0.332 GBytes  3.32 GBytes/sec
[  2] 2.8000-2.9000 sec  0.519 GBytes  5.19 GBytes/sec
[  3] 2.8000-2.9000 sec  0.311 GBytes  3.11 GBytes/sec
[  1] 2.8000-2.9000 sec  0.321 GBytes  3.21 GBytes/sec
[  2] 2.9000-3.0000 sec  0.580 GBytes  5.80 GBytes/sec
[  3] 2.9000-3.0000 sec  0.326 GBytes  3.26 GBytes/sec
[  1] 2.9000-3.0000 sec  0.372 GBytes  3.72 GBytes/sec
[  2] 3.0000-3.1000 sec  0.563 GBytes  5.63 GBytes/sec
[  3] 3.0000-3.1000 sec  0.316 GBytes  3.16 GBytes/sec
[  1] 3.0000-3.1000 sec  0.372 GBytes  3.72 GBytes/sec
[  2] 3.1000-3.2000 sec  0.536 GBytes  5.36 GBytes/sec
[  3] 3.1000-3.2000 sec  0.319 GBytes  3.19 GBytes/sec
[  1] 3.1000-3.2000 sec  0.326 GBytes  3.26 GBytes/sec
[  1] 3.2000-3.3000 sec  0.349 GBytes  3.49 GBytes/sec
[  2] 3.2000-3.3000 sec  0.579 GBytes  5.79 GBytes/sec
[  3] 3.2000-3.3000 sec  0.341 GBytes  3.41 GBytes/sec
[  2] 3.3000-3.4000 sec  0.589 GBytes  5.89 GBytes/sec
[  3] 3.3000-3.4000 sec  0.359 GBytes  3.59 GBytes/sec
[  1] 3.3000-3.4000 sec  0.340 GBytes  3.40 GBytes/sec
[  2] 3.4000-3.5000 sec  0.584 GBytes  5.84 GBytes/sec
[  3] 3.4000-3.5000 sec  0.311 GBytes  3.11 GBytes/sec
[  1] 3.4000-3.5000 sec  0.366 GBytes  3.66 GBytes/sec
[  2] 3.5000-3.6000 sec  0.544 GBytes  5.44 GBytes/sec
[  3] 3.5000-3.6000 sec  0.321 GBytes  3.21 GBytes/sec
[  1] 3.5000-3.6000 sec  0.335 GBytes  3.35 GBytes/sec
[  1] 3.6000-3.7000 sec  0.339 GBytes  3.39 GBytes/sec
[  2] 3.6000-3.7000 sec  0.535 GBytes  5.35 GBytes/sec
[  3] 3.6000-3.7000 sec  0.336 GBytes  3.36 GBytes/sec
[  2] 3.7000-3.8000 sec  0.539 GBytes  5.39 GBytes/sec
[  3] 3.7000-3.8000 sec  0.352 GBytes  3.52 GBytes/sec
[  1] 3.7000-3.8000 sec  0.322 GBytes  3.22 GBytes/sec
[  2] 3.8000-3.9000 sec  0.527 GBytes  5.27 GBytes/sec
[  3] 3.8000-3.9000 sec  0.359 GBytes  3.59 GBytes/sec
[  1] 3.8000-3.9000 sec  0.349 GBytes  3.49 GBytes/sec
[  2] 3.9000-4.0000 sec  0.535 GBytes  5.35 GBytes/sec
[  3] 3.9000-4.0000 sec  0.311 GBytes  3.11 GBytes/sec
[  1] 3.9000-4.0000 sec  0.334 GBytes  3.34 GBytes/sec
[  2] 4.0000-4.1000 sec  0.547 GBytes  5.47 GBytes/sec
[  3] 4.0000-4.1000 sec  0.333 GBytes  3.33 GBytes/sec
[  1] 4.0000-4.1000 sec  0.374 GBytes  3.74 GBytes/sec
[  1] 4.1000-4.2000 sec  0.339 GBytes  3.39 GBytes/sec
[  2] 4.1000-4.2000 sec  0.536 GBytes  5.36 GBytes/sec
