------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to vegas
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 42550 (icwnd/mss/irtt=14/1448/2725)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 55726 (icwnd/mss/irtt=14/1448/4643)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 58116 (icwnd/mss/irtt=14/1448/4774)
[ ID] Interval       Transfer     Bandwidth
[  3] 2.5000-2.6000 sec  0.674 GBytes  6.74 GBytes/sec
[  1] 2.5000-2.6000 sec  0.708 GBytes  7.08 GBytes/sec
[  2] 2.5000-2.6000 sec  0.880 GBytes  8.80 GBytes/sec
[  3] 2.6000-2.7000 sec  0.780 GBytes  7.80 GBytes/sec
[  1] 2.6000-2.7000 sec  0.799 GBytes  7.99 GBytes/sec
[  2] 2.6000-2.7000 sec  0.914 GBytes  9.14 GBytes/sec
[  1] 2.7000-2.8000 sec  0.765 GBytes  7.65 GBytes/sec
[  2] 2.7000-2.8000 sec  0.877 GBytes  8.77 GBytes/sec
[  3] 2.7000-2.8000 sec  0.759 GBytes  7.59 GBytes/sec
[  1] 2.8000-2.9000 sec  0.713 GBytes  7.13 GBytes/sec
[  3] 2.8000-2.9000 sec  0.752 GBytes  7.52 GBytes/sec
[  2] 2.8000-2.9000 sec  0.899 GBytes  8.99 GBytes/sec
[  3] 2.9000-3.0000 sec  0.765 GBytes  7.65 GBytes/sec
[  1] 2.9000-3.0000 sec  0.824 GBytes  8.24 GBytes/sec
[  2] 2.9000-3.0000 sec  0.920 GBytes  9.20 GBytes/sec
[  3] 3.0000-3.1000 sec  0.775 GBytes  7.75 GBytes/sec
[  1] 3.0000-3.1000 sec  0.810 GBytes  8.10 GBytes/sec
[  2] 3.0000-3.1000 sec  0.957 GBytes  9.57 GBytes/sec
[  3] 3.1000-3.2000 sec  0.786 GBytes  7.86 GBytes/sec
[  1] 3.1000-3.2000 sec  0.814 GBytes  8.14 GBytes/sec
[  2] 3.1000-3.2000 sec  0.916 GBytes  9.16 GBytes/sec
[  1] 3.2000-3.3000 sec  0.810 GBytes  8.10 GBytes/sec
[  2] 3.2000-3.3000 sec  0.928 GBytes  9.28 GBytes/sec
[  3] 3.2000-3.3000 sec  0.771 GBytes  7.71 GBytes/sec
[  3] 3.3000-3.4000 sec  0.775 GBytes  7.75 GBytes/sec
[  1] 3.3000-3.4000 sec  0.803 GBytes  8.03 GBytes/sec
[  2] 3.3000-3.4000 sec  0.961 GBytes  9.61 GBytes/sec
[  3] 3.4000-3.5000 sec  0.716 GBytes  7.16 GBytes/sec
[  1] 3.4000-3.5000 sec  0.810 GBytes  8.10 GBytes/sec
[  2] 3.4000-3.5000 sec  0.921 GBytes  9.21 GBytes/sec
[  3] 3.5000-3.6000 sec  0.795 GBytes  7.95 GBytes/sec
[  1] 3.5000-3.6000 sec  0.806 GBytes  8.06 GBytes/sec
[  2] 3.5000-3.6000 sec  0.903 GBytes  9.03 GBytes/sec
[  3] 3.6000-3.7000 sec  0.809 GBytes  8.09 GBytes/sec
[  1] 3.6000-3.7000 sec  0.808 GBytes  8.08 GBytes/sec
[  2] 3.6000-3.7000 sec  0.956 GBytes  9.56 GBytes/sec
[  1] 3.7000-3.8000 sec  0.816 GBytes  8.16 GBytes/sec
[  3] 3.7000-3.8000 sec  0.780 GBytes  7.80 GBytes/sec
[  2] 3.7000-3.8000 sec  0.906 GBytes  9.06 GBytes/sec
