------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to cubic
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 38326 (icwnd/mss/irtt=14/1448/478)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 45304 (icwnd/mss/irtt=14/1448/1119)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 56996 (icwnd/mss/irtt=14/1448/2083)
[ ID] Interval       Transfer     Bandwidth
[  3] 2.5000-2.6000 sec  0.789 GBytes  7.89 GBytes/sec
[  1] 2.5000-2.6000 sec  0.931 GBytes  9.31 GBytes/sec
[  2] 2.5000-2.6000 sec  0.762 GBytes  7.62 GBytes/sec
[  3] 2.6000-2.7000 sec  0.790 GBytes  7.90 GBytes/sec
[  1] 2.6000-2.7000 sec  0.901 GBytes  9.01 GBytes/sec
[  2] 2.6000-2.7000 sec  0.807 GBytes  8.07 GBytes/sec
[  3] 2.7000-2.8000 sec  0.807 GBytes  8.07 GBytes/sec
[  1] 2.7000-2.8000 sec  1.02 GBytes  10.2 GBytes/sec
[  2] 2.7000-2.8000 sec  0.809 GBytes  8.09 GBytes/sec
[  1] 2.8000-2.9000 sec  1.10 GBytes  11.0 GBytes/sec
[  2] 2.8000-2.9000 sec  0.819 GBytes  8.19 GBytes/sec
[  3] 2.8000-2.9000 sec  0.805 GBytes  8.05 GBytes/sec
[  3] 2.9000-3.0000 sec  0.796 GBytes  7.96 GBytes/sec
[  1] 2.9000-3.0000 sec  0.912 GBytes  9.12 GBytes/sec
[  2] 2.9000-3.0000 sec  0.801 GBytes  8.01 GBytes/sec
[  3] 3.0000-3.1000 sec  0.814 GBytes  8.14 GBytes/sec
[  1] 3.0000-3.1000 sec  0.897 GBytes  8.97 GBytes/sec
[  2] 3.0000-3.1000 sec  0.806 GBytes  8.06 GBytes/sec
[  3] 3.1000-3.2000 sec  0.792 GBytes  7.92 GBytes/sec
[  1] 3.1000-3.2000 sec  0.958 GBytes  9.58 GBytes/sec
[  2] 3.1000-3.2000 sec  0.832 GBytes  8.32 GBytes/sec
[  3] 3.2000-3.3000 sec  0.790 GBytes  7.90 GBytes/sec
[  1] 3.2000-3.3000 sec  0.984 GBytes  9.84 GBytes/sec
[  2] 3.2000-3.3000 sec  0.823 GBytes  8.23 GBytes/sec
[  1] 3.3000-3.4000 sec  0.932 GBytes  9.32 GBytes/sec
[  2] 3.3000-3.4000 sec  0.789 GBytes  7.89 GBytes/sec
[  3] 3.3000-3.4000 sec  0.794 GBytes  7.94 GBytes/sec
[  3] 3.4000-3.5000 sec  0.779 GBytes  7.79 GBytes/sec
[  1] 3.4000-3.5000 sec  0.910 GBytes  9.10 GBytes/sec
[  2] 3.4000-3.5000 sec  0.798 GBytes  7.98 GBytes/sec
[  3] 3.5000-3.6000 sec  0.803 GBytes  8.03 GBytes/sec
[  1] 3.5000-3.6000 sec  1.02 GBytes  10.2 GBytes/sec
[  2] 3.5000-3.6000 sec  0.822 GBytes  8.22 GBytes/sec
[  3] 3.6000-3.7000 sec  0.785 GBytes  7.85 GBytes/sec
[  1] 3.6000-3.7000 sec  0.915 GBytes  9.15 GBytes/sec
[  2] 3.6000-3.7000 sec  0.796 GBytes  7.96 GBytes/sec
[  3] 3.7000-3.8000 sec  0.784 GBytes  7.84 GBytes/sec
[  1] 3.7000-3.8000 sec  0.960 GBytes  9.60 GBytes/sec
[  2] 3.7000-3.8000 sec  0.822 GBytes  8.22 GBytes/sec
[  1] 3.8000-3.9000 sec  0.942 GBytes  9.42 GBytes/sec
[  2] 3.8000-3.9000 sec  0.800 GBytes  8.00 GBytes/sec
[  3] 3.8000-3.9000 sec  0.794 GBytes  7.94 GBytes/sec
[  3] 3.9000-4.0000 sec  0.780 GBytes  7.80 GBytes/sec
[  1] 3.9000-4.0000 sec  1.03 GBytes  10.3 GBytes/sec
[  2] 3.9000-4.0000 sec  0.819 GBytes  8.19 GBytes/sec
[  3] 4.0000-4.1000 sec  0.792 GBytes  7.92 GBytes/sec
[  1] 4.0000-4.1000 sec  1.02 GBytes  10.2 GBytes/sec
[  2] 4.0000-4.1000 sec  0.827 GBytes  8.27 GBytes/sec
[  3] 4.1000-4.2000 sec  0.809 GBytes  8.09 GBytes/sec
[  1] 4.1000-4.2000 sec  0.975 GBytes  9.75 GBytes/sec
[  2] 4.1000-4.2000 sec  0.808 GBytes  8.08 GBytes/sec
[  3] 4.2000-4.3000 sec  0.822 GBytes  8.22 GBytes/sec
[  1] 4.2000-4.3000 sec  1.08 GBytes  10.8 GBytes/sec
